lng,lat,dest_lng,dest_lat,time_s
-87.6324675015,41.8090762537,-87.806456747,41.9472647818,4448
-87.6324675015,41.8090762537,-87.7980809604,41.9278743552,4185
-87.6324675015,41.8090762537,-87.7660523178,41.9263941918,3795
-87.6324675015,41.8090762537,-87.692752708,42.0013058794,4258
-87.6324675015,41.8090762537,-87.7322612632,41.9262258671,3668
-87.6324675015,41.8090762537,-87.7115523634,41.9392149708,2645
-87.6324675015,41.8090762537,-87.6975403474,41.9248265528,2539
-87.6324675015,41.8090762537,-87.7164903481,41.900872806,3086
-87.6324675015,41.8090762537,-87.6731828793,41.9021777644,2402
-87.6324675015,41.8090762537,-87.7728098301,41.8944136969,3639
-87.6324675015,41.8090762537,-87.7303958682,41.8782963834,2670
-87.6324675015,41.8090762537,-87.7048274062,41.878719841,2561
-87.6324675015,41.8090762537,-87.6633940945,41.8733728795,2128
-87.6324675015,41.8090762537,-87.7139721106,41.8582848402,3418
-87.6324675015,41.8090762537,-87.652637557,41.9661075197,3095
-87.6324675015,41.8090762537,-87.7133612858,41.8378379546,3071
-87.6324675015,41.8090762537,-87.6616155822,41.8474095044,2582
-87.6324675015,41.8090762537,-87.6203833666,41.8565996829,2144
-87.6324675015,41.8090762537,-87.6364609818,41.8406962182,1775
-87.6324675015,41.8090762537,-87.8072228108,41.9856125953,3712
-87.6324675015,41.8090762537,-87.6288765812,41.8989537971,1706
-87.6324675015,41.8090762537,-87.6203724059,41.8789724974,1596
-87.6324675015,41.8090762537,-87.5681135653,41.7626448354,2408
-87.6324675015,41.8090762537,-87.6174163989,41.736958739,1668
-87.6324675015,41.8090762537,-87.5817914573,41.7468320805,1978
-87.6324675015,41.8090762537,-87.5550587928,41.7389921662,2854
-87.6324675015,41.8090762537,-87.595610964,41.7294105994,2275
-87.6324675015,41.8090762537,-87.6717818648,41.8310103201,1490
-87.6324675015,41.8090762537,-87.6522001507,41.9469886855,2285
-87.6324675015,41.8090762537,-87.5705121861,41.72989349,2719
-87.6324675015,41.8090762537,-87.6230081049,41.7122781921,1836
-87.6324675015,41.8090762537,-87.6851079785,41.9468770735,2929
-87.6324675015,41.8090762537,-87.5980333532,41.7038819518,2516
-87.6324675015,41.8090762537,-87.5720604263,41.6915254757,-1
-87.6324675015,41.8090762537,-87.535020955,41.7078837283,3102
-87.6324675015,41.8090762537,-87.6369389639,41.6713896802,2994
